Day-Date,PartyID,PartySht,Party,Party Votes,Party Seats,Total Seats,Party Votes %,Candidate Seats
23rd 22:24,11 , MANA , MANA , 2338 , 0 , 0 , 0.1 , 0
23rd 22:24,18 , BAN , Ban1080 , 2249 , 0 , 0 , 0.1 , 0
23rd 22:24,29 , NZPP , New Zealand People's Party , 1497 , 0 , 0 , 0.1 , 0
23rd 22:24,9 , UFNZ , United Future , 1351 , 0 , 0 , 0.1 , 0
23rd 22:24,27 , NZOP , NZ Outdoors Party , 1222 , 0 , 0 , 0.1 , 0
23rd 22:24,8 , NZDSC , Democrats for Social Credit , 669 , 0 , 0 , 0.0 , 0
23rd 22:24,14 , IP , Internet Party , 445 , 0 , 0 , 0.0 , 0
23rd 22:25,6 , NAT , National Party , 927303 , 17 , 58 , 46.2 , 41
23rd 22:25,5 , LAB , Labour Party , 716342 , 16 , 45 , 35.7 , 29
23rd 22:25,7 , NZF , New Zealand First Party , 149619 , 9 , 9 , 7.5 , 0
23rd 22:25,4 , GP , Green Party , 117787 , 7 , 7 , 5.9 , 0
23rd 22:25,28 , TOP , The Opportunities Party (TOP) , 44233 , 0 , 0 , 2.2 , 0
23rd 22:25,10 , MAOR , Māori Party , 21459 , 0 , 0 , 1.1 , 0
23rd 22:25,1 , ACT , ACT New Zealand , 10159 , 0 , 1 , 0.5 , 1
23rd 22:25,3 , ALCP , Aotearoa Legalise Cannabis Party , 5301 , 0 , 0 , 0.3 , 0
23rd 22:25,12 , CNSP , Conservative , 4895 , 0 , 0 , 0.2 , 0
23rd 22:25,11 , MANA , MANA , 2351 , 0 , 0 , 0.1 , 0
23rd 22:25,18 , BAN , Ban1080 , 2255 , 0 , 0 , 0.1 , 0
23rd 22:25,29 , NZPP , New Zealand People's Party , 1499 , 0 , 0 , 0.1 , 0
23rd 22:25,9 , UFNZ , United Future , 1354 , 0 , 0 , 0.1 , 0
23rd 22:25,27 , NZOP , NZ Outdoors Party , 1230 , 0 , 0 , 0.1 , 0
23rd 22:25,8 , NZDSC , Democrats for Social Credit , 671 , 0 , 0 , 0.0 , 0
23rd 22:25,14 , IP , Internet Party , 448 , 0 , 0 , 0.0 , 0
23rd 22:26,6 , NAT , National Party , 928632 , 17 , 58 , 46.2 , 41
23rd 22:26,5 , LAB , Labour Party , 717189 , 16 , 45 , 35.7 , 29
23rd 22:26,7 , NZF , New Zealand First Party , 149838 , 9 , 9 , 7.5 , 0
23rd 22:26,4 , GP , Green Party , 117930 , 7 , 7 , 5.9 , 0
23rd 22:26,28 , TOP , The Opportunities Party (TOP) , 44294 , 0 , 0 , 2.2 , 0
23rd 22:26,10 , MAOR , Māori Party , 21516 , 0 , 0 , 1.1 , 0
23rd 22:26,1 , ACT , ACT New Zealand , 10168 , 0 , 1 , 0.5 , 1
23rd 22:26,3 , ALCP , Aotearoa Legalise Cannabis Party , 5307 , 0 , 0 , 0.3 , 0
23rd 22:26,12 , CNSP , Conservative , 4898 , 0 , 0 , 0.2 , 0
23rd 22:26,11 , MANA , MANA , 2352 , 0 , 0 , 0.1 , 0
23rd 22:26,18 , BAN , Ban1080 , 2255 , 0 , 0 , 0.1 , 0
23rd 22:26,29 , NZPP , New Zealand People's Party , 1503 , 0 , 0 , 0.1 , 0
23rd 22:26,9 , UFNZ , United Future , 1358 , 0 , 0 , 0.1 , 0
23rd 22:26,27 , NZOP , NZ Outdoors Party , 1230 , 0 , 0 , 0.1 , 0
23rd 22:26,8 , NZDSC , Democrats for Social Credit , 672 , 0 , 0 , 0.0 , 0
23rd 22:26,14 , IP , Internet Party , 448 , 0 , 0 , 0.0 , 0
23rd 22:27,6 , NAT , National Party , 931200 , 17 , 58 , 46.2 , 41
23rd 22:27,5 , LAB , Labour Party , 719100 , 16 , 45 , 35.7 , 29
23rd 22:27,7 , NZF , New Zealand First Party , 150315 , 9 , 9 , 7.5 , 0
23rd 22:27,4 , GP , Green Party , 118176 , 7 , 7 , 5.9 , 0
23rd 22:27,28 , TOP , The Opportunities Party (TOP) , 44409 , 0 , 0 , 2.2 , 0
23rd 22:27,10 , MAOR , Māori Party , 21556 , 0 , 0 , 1.1 , 0
23rd 22:27,1 , ACT , ACT New Zealand , 10189 , 0 , 1 , 0.5 , 1
23rd 22:27,3 , ALCP , Aotearoa Legalise Cannabis Party , 5321 , 0 , 0 , 0.3 , 0
23rd 22:27,12 , CNSP , Conservative , 4911 , 0 , 0 , 0.2 , 0
23rd 22:27,11 , MANA , MANA , 2354 , 0 , 0 , 0.1 , 0
23rd 22:27,18 , BAN , Ban1080 , 2264 , 0 , 0 , 0.1 , 0
23rd 22:27,29 , NZPP , New Zealand People's Party , 1508 , 0 , 0 , 0.1 , 0
23rd 22:27,9 , UFNZ , United Future , 1363 , 0 , 0 , 0.1 , 0
23rd 22:27,27 , NZOP , NZ Outdoors Party , 1232 , 0 , 0 , 0.1 , 0
23rd 22:27,8 , NZDSC , Democrats for Social Credit , 675 , 0 , 0 , 0.0 , 0
23rd 22:27,14 , IP , Internet Party , 452 , 0 , 0 , 0.0 , 0
23rd 22:28,6 , NAT , National Party , 933741 , 17 , 58 , 46.2 , 41
23rd 22:28,5 , LAB , Labour Party , 720685 , 16 , 45 , 35.7 , 29
23rd 22:28,7 , NZF , New Zealand First Party , 150644 , 9 , 9 , 7.5 , 0
23rd 22:28,4 , GP , Green Party , 118399 , 7 , 7 , 5.9 , 0
23rd 22:28,28 , TOP , The Opportunities Party (TOP) , 44522 , 0 , 0 , 2.2 , 0
23rd 22:28,10 , MAOR , Māori Party , 21604 , 0 , 0 , 1.1 , 0
23rd 22:28,1 , ACT , ACT New Zealand , 10206 , 0 , 1 , 0.5 , 1
23rd 22:28,3 , ALCP , Aotearoa Legalise Cannabis Party , 5333 , 0 , 0 , 0.3 , 0
23rd 22:28,12 , CNSP , Conservative , 4917 , 0 , 0 , 0.2 , 0
23rd 22:28,11 , MANA , MANA , 2362 , 0 , 0 , 0.1 , 0
23rd 22:28,18 , BAN , Ban1080 , 2268 , 0 , 0 , 0.1 , 0
23rd 22:28,29 , NZPP , New Zealand People's Party , 1510 , 0 , 0 , 0.1 , 0
23rd 22:28,9 , UFNZ , United Future , 1366 , 0 , 0 , 0.1 , 0
23rd 22:28,27 , NZOP , NZ Outdoors Party , 1233 , 0 , 0 , 0.1 , 0
23rd 22:28,8 , NZDSC , Democrats for Social Credit , 678 , 0 , 0 , 0.0 , 0
23rd 22:28,14 , IP , Internet Party , 453 , 0 , 0 , 0.0 , 0
23rd 22:29,6 , NAT , National Party , 933741 , 17 , 58 , 46.2 , 41
23rd 22:29,5 , LAB , Labour Party , 720685 , 16 , 45 , 35.7 , 29
23rd 22:29,7 , NZF , New Zealand First Party , 150644 , 9 , 9 , 7.5 , 0
23rd 22:29,4 , GP , Green Party , 118399 , 7 , 7 , 5.9 , 0
23rd 22:29,28 , TOP , The Opportunities Party (TOP) , 44522 , 0 , 0 , 2.2 , 0
